Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20200320|A|14|1937|6952|A
20200320|AA|0|7937|20940|A
20200320|AAAU|0|361|566|A
20200320|AAL|3725|62974|99906|A
20200320|AAMC|0|2|342|A
20200320|AAN|16|816|2191|A
20200320|AAOI|0|1263|2001|A
20200320|AAON|100|941|1370|A
20200320|AAP|1|4141|6471|A
20200320|AAPL|1966|94252|178967|A
20200320|AAT|7|484|3008|A
20200320|AAU|23356|24758|26295|A
20200320|AAWW|0|1151|1532|A
20200320|AAXJ|0|5770|8770|A
20200320|AAXN|2|506|620|A
20200320|AB|0|0|100|A
20200320|ABB|0|906|4138|A
20200320|ABBV|737|46534|65972|A
20200320|ABC|0|15058|15819|A
20200320|ABCB|50|355|1047|A
20200320|ABEO|0|6008|15790|A
20200320|ABEV|800|133591|159347|A
20200320|ABG|100|353|462|A
20200320|ABM|0|600|1511|A
20200320|ABMD|8|1115|1583|A
20200320|ABR|785|785|18798|A
20200320|ABT|39|20681|27774|A
20200320|ABTX|100|100|241|A
20200320|ACA|0|1244|1539|A
20200320|ACAD|100|2905|5867|A
20200320|ACB|0|19773|38248|A
20200320|ACBI|0|307|589|A
20200320|ACC|14|696|2629|A
20200320|ACCO|1|201|1720|A
20200320|ACER|0|0|27|A
20200320|ACGL|1|2048|5898|A
20200320|ACHC|67|812|5168|A
20200320|ACHV|300|300|300|A
20200320|ACIA|1|1511|2211|A
20200320|ACIU|0|100|100|A
20200320|ACIW|0|1404|2218|A
20200320|ACLS|0|403|822|A
20200320|ACM|0|3206|4706|A
20200320|ACMR|0|1673|4011|A
20200320|ACN|105|5283|9747|A
20200320|ACNB|0|89|145|A
20200320|ACOR|0|2279|4215|A
20200320|ACP|0|2|2|A
20200320|ACRE|0|751|1655|A
20200320|ACRS|100|200|1100|A
20200320|ACRX|0|100|700|A
20200320|ACTG|0|370|995|A
20200320|ACU|0|3341|6637|A
20200320|ACWI|0|4918|13340|A
20200320|ACWV|0|337|1087|A
20200320|ACWX|0|4500|4500|A
20200320|ACY|0|9|575|A
20200320|ADAP|0|772|772|A
20200320|ADBE|12|769|24788|A
20200320|ADC|0|610|639|A
20200320|ADI|166|18412|30781|A
20200320|ADM|46|6580|10067|A
20200320|ADMA|0|20125|25164|A
20200320|ADMP|0|0|100|A
20200320|ADMS|0|100|207|A
20200320|ADNT|7|4571|9761|A
20200320|ADP|231|8040|11415|A
20200320|ADPT|0|4525|7216|A
20200320|ADRO|0|624|636|A
20200320|ADS|22|31459|47864|A
20200320|ADSK|53|2889|6727|A
20200320|ADSW|0|2785|6361|A
20200320|ADT|0|2878|6939|A
20200320|ADTN|0|2|22|A
20200320|ADUS|100|130|149|A
20200320|ADVM|0|2000|4549|A
20200320|ADX|0|500|1500|A
20200320|AE|0|1722|3068|A
20200320|AEB|0|100|100|A
20200320|AEE|377|2056|4511|A
20200320|AEF|1|2026|20017|A
20200320|AEFC|0|0|400|A
20200320|AEG|0|9477|11029|A
20200320|AEGN|0|187|362|A
20200320|AEIS|0|277|662|A
20200320|AEL|0|200|591|A
20200320|AEM|0|3405|23715|A
20200320|AEMD|0|200|200|A
20200320|AEO|1|7119|34649|A
20200320|AEP|199|2107|19707|A
20200320|AER|1970|4515|24210|A
20200320|AERI|0|1606|3012|A
20200320|AES|599|14315|63943|A
20200320|AFC|200|200|230|A
20200320|AFG|0|494|1074|A
20200320|AFI|0|0|102|A
20200320|AFIN|0|862|1275|A
20200320|AFL|837|60963|84588|A
20200320|AFMD|0|405|908|A
20200320|AFYA|0|381|381|A
