Date|Symbol|Short Volume|Total Volume|Market
20101201|AAU|115573|179439|A
20101201|ABL|700|800|A
20101201|ACU|703|796|A
20101201|ACY|570|600|A
20101201|ADGE|860|9091|A
20101201|ADK|2230|6630|A
20101201|AE|301|400|A
20101201|AEN|24418|30587|A
20101201|AEZ|16468|49971|A
20101201|AFP|186|669|A
20101201|AGX|5600|25281|A
20101201|AIP|100|100|A
20101201|AIS|7547|29448|A
20101201|ALN|22200|39993|A
20101201|ANO|28480|56431|A
20101201|ANV|71026|165639|A
20101201|ANX|5561|6900|A
20101201|API|2334|4634|A
20101201|APP|18692|80094|A
20101201|APT|11300|34147|A
20101201|AQQ|200|200|A
20101201|ARR|900|6290|A
20101201|ARRWS|400|400|A
20101201|ATSC|3004|4000|A
20101201|AUMN|5476|27369|A
20101201|AWX|800|912|A
20101201|AXK|1000|1200|A
20101201|AXN|2573|8216|A
20101201|AXU|124702|180767|A
20101201|AZC|15963|51232|A
20101201|AZK|29251|87703|A
20101201|BAA|10068|47064|A
20101201|BCV|232|1000|A
20101201|BDR|200|200|A
20101201|BFY|1106|2942|A
20101201|BHB|346|600|A
20101201|BHO|1200|1200|A
20101201|BHV|607|1207|A
20101201|BIRPRA|743|1602|A
20101201|BKJ|200|200|A
20101201|BKR|473|4599|A
20101201|BLE|9552|19365|A
20101201|BLJ|17|931|A
20101201|BMJ|34|100|A
20101201|BNX|5730|5920|A
20101201|BQI|21398|122152|A
20101201|BQIWSA|35201|37001|A
20101201|BQY|2564|5318|A
20101201|BRD|60073|102999|A
20101201|BRN|300|500|A
20101201|BTC|13048|16145|A
20101201|BTCWS|100|100|A
20101201|BTI|8265|23850|A
20101201|BTN|5637|11272|A
20101201|BTX|42883|73048|A
20101201|BVX|250|400|A
20101201|BWLA|200|200|A
20101201|BZC|100|100|A
20101201|BZM|11|0|A
20101201|CAK|26958|49517|A
20101201|CAW|1|100|A
20101201|CBP|19681|20480|A
20101201|CCA|610|4000|A
20101201|CCF|7553|9350|A
20101201|CDY|19500|55370|A
20101201|CEF|115713|195913|A
20101201|CET|466|10692|A
20101201|CEV|2172|3965|A
20101201|CFP|5655|6113|A
20101201|CFW|1210|9150|A
20101201|CGC|60724|115211|A
20101201|CGLA|4862|4962|A
20101201|CGR|34433|49870|A
20101201|CH|600|6230|A
20101201|CHGS|1200|8485|A
20101201|CIK|9517|28363|A
20101201|CIL|518|600|A
20101201|CLM|3482|3787|A
20101201|CMFO|8342|14107|A
20101201|CMT|101|400|A
20101201|CNAM|1435|2594|A
20101201|CNGL|1752|1752|A
20101201|CNR|800|4390|A
20101201|COHN|312|2581|A
20101201|CONM|200|7150|A
20101201|CPD|1640|4931|A
20101201|CPHI|11478|28148|A
20101201|CQP|2735|10445|A
20101201|CRC|1400|1700|A
20101201|CRF|2354|6338|A
20101201|CRMD|501|800|A
20101201|CRV|400|800|A
20101201|CRVP|500|500|A
20101201|CTO|923|2246|A
20101201|CUR|13092|39863|A
20101201|CVM|104187|189624|A
20101201|CVU|1101|1400|A
20101201|CXM|10828|21800|A
20101201|CXZ|99140|243875|A
20101201|DDD|1856|23069|A
20101201|DEJ|11498|27900|A
20101201|DHY|15650|30526|A
20101201|DIT|104|0|A
20101201|DLA|1382|2969|A
20101201|DMC|303|3417|A
20101201|DMF|1623|4229|A
20101201|DNN|98502|214118|A
20101201|DPW|2893|7945|A
20101201|DRJ|4255|18150|A
20101201|DXR|200|200|A
20101201|EAD|12984|32556|A
20101201|EAG|6401|6501|A
20101201|EAR|7704|8756|A
20101201|ECF|1000|7654|A
20101201|EGAS|1804|4248|A
20101201|EGI|7550|31028|A
20101201|EGT|5986|8786|A
20101201|EGX|119|500|A
20101201|EIA|500|3700|A
20101201|EIM|6673|14842|A
20101201|EIO|380|1109|A
20101201|EIP|501|2054|A
20101201|EIV|137|3880|A
20101201|ELC|100|100|A
20101201|EMAN|4489|11474|A
20101201|EMJ|436|1994|A
20101201|EML|801|1200|A
20101201|ENA|2631|5300|A
20101201|END|14089|50002|A
20101201|ENX|3297|9722|A
20101201|EPM|13427|14444|A
20101201|ERC|5920|28975|A
20101201|ERH|882|1557|A
20101201|ESA|240|200|A
20101201|ESAWS|105|305|A
20101201|ESP|600|900|A
20101201|ETF|967|2576|A
20101201|EVJ|2465|3923|A
20101201|EVK|9|101|A
20101201|EVM|1931|10270|A
20101201|EVO|400|3251|A
20101201|EVV|11770|36054|A
20101201|EVY|1741|2841|A
20101201|EXK|131115|331294|A
20101201|FAX|32373|142462|A
20101201|FCO|1821|5958|A
20101201|FEN|8460|13498|A
20101201|FFI|1340|6640|A
20101201|FLL|773|11803|A
20101201|FOH|1800|2200|A
20101201|FPP|6600|9352|A
20101201|FRD|743|5720|A
20101201|FRG|89363|186979|A
20101201|FSP|46241|78958|A
20101201|FTF|1307|10296|A
20101201|FVE|17615|47552|A
