Date|Symbol|Short Volume|Total Volume|Market
20160706|AAL|770556|980530|A
20160706|AAMC|387|1649|A
20160706|AAPL|12216|25375|A
20160706|AAPR|0|1|A
20160706|AAU|194173|255493|A
20160706|ABE|200|222|A
20160706|ACHN|1200|1965|A
20160706|ACU|200|985|A
20160706|ACY|0|0|A
20160706|ADGE|3100|6880|A
20160706|ADK|16807|19484|A
20160706|ADKPRA|2175|2875|A
20160706|AE|281|281|A
20160706|AFCO|1241|2683|A
20160706|AGNC|2397|5967|A
20160706|AIII|18|121|A
20160706|AINC|51|1565|A
20160706|AIRI|30|250|A
20160706|AKG|54746|140117|A
20160706|ALN|200|200|A
20160706|AMAT|38844|53295|A
20160706|AMCO|0|0|A
20160706|AMD|37904|69209|A
20160706|AMPE|98216|160607|A
20160706|AMS|400|601|A
20160706|AMTD|4817|22474|A
20160706|APHB|4167|13462|A
20160706|APT|355|2333|A
20160706|ARIA|3000|5102|A
20160706|ARNA|2198|3934|A
20160706|ASBWS|0|0|A
20160706|ASM|78145|111130|A
20160706|AST|6216|10453|A
20160706|ASTWS|0|20728|A
20160706|ATNM|8183|9954|A
20160706|ATVI|18213|24555|A
20160706|AUMN|155380|210734|A
20160706|AWX|110|1000|A
20160706|AXN|6579|9942|A
20160706|AXU|100764|196530|A
20160706|BAA|370228|458976|A
20160706|BBRY|6552|19971|A
20160706|BCV|245|800|A
20160706|BDL|2|2|A
20160706|BDR|0|1013|A
20160706|BFY|701|1043|A
20160706|BGI|907802|1308489|A
20160706|BGSF|8203|13375|A
20160706|BHB|974|1237|A
20160706|BHV|0|100|A
20160706|BKJ|10|314|A
20160706|BLDP|1100|1600|A
20160706|BLE|6679|8924|A
20160706|BLJ|0|399|A
20160706|BPMX|800|1100|A
20160706|BRCD|22329|39406|A
20160706|BRG|34951|72949|A
20160706|BRGPRA|18417|23328|A
20160706|BRN|0|0|A
20160706|BTG|791467|1233962|A
20160706|BTI|12141|30051|A
20160706|BTN|500|1648|A
20160706|BTX|22226|43292|A
20160706|BTXWS|9924|10421|A
20160706|BVX|1437|3138|A
20160706|BWLA|162|1096|A
20160706|BZM|100|302|A
20160706|CA|1054|1854|A
20160706|CANF|4912|13747|A
20160706|CAW|0|67|A
20160706|CCA|1144|1701|A
20160706|CCF|1019|1770|A
20160706|CEF|77505|105674|A
20160706|CET|300|401|A
20160706|CEV|3178|6619|A
20160706|CFD|200|316|A
20160706|CH|1470|3370|A
20160706|CIK|3701|12155|A
20160706|CIX|582|1337|A
20160706|CKX|0|50|A
20160706|CLM|14993|28979|A
20160706|CMT|3492|5932|A
20160706|CNR|0|50|A
20160706|CPHI|0|1810|A
20160706|CQH|4044|9077|A
20160706|CQP|13465|40287|A
20160706|CRF|2706|14745|A
20160706|CRHM|565|4765|A
20160706|CRMD|35610|50880|A
20160706|CRVP|0|533|A
20160706|CSCO|78578|106710|A
20160706|CTF|1250|2000|A
20160706|CTO|840|1133|A
20160706|CUO|0|0|A
20160706|CVM|9850|30553|A
20160706|CVMWS|0|200|A
20160706|CVR|0|0|A
20160706|CVRS|8391|10280|A
20160706|CVU|3633|12081|A
20160706|CY|1868|3068|A
20160706|DGSE|9863|20485|A
20160706|DHY|16085|48781|A
20160706|DIT|615|1016|A
20160706|DLA|1819|4695|A
20160706|DMF|2000|8767|A
20160706|DNN|7375|15840|A
20160706|DPW|564|900|A
20160706|DSS|200|1204|A
20160706|DXI|0|356|A
20160706|DXR|0|0|A
20160706|EAD|4980|21461|A
20160706|EBAY|11834|24612|A
20160706|ECF|100|353|A
20160706|EGAS|1122|2996|A
20160706|EGI|5310|9752|A
20160706|EIA|1026|2135|A
20160706|EIM|21917|33612|A
20160706|EIO|1000|1000|A
20160706|EIP|0|0|A
20160706|EIV|3073|4306|A
20160706|ELLO|0|0|A
20160706|ELMD|2|1203|A
20160706|EMAN|200|203|A
20160706|EMI|500|500|A
20160706|EMJ|468|468|A
20160706|EMXX|404|10120|A
20160706|ENRJ|0|500|A
20160706|ENRJPR|0|0|A
20160706|ENSV|164|404|A
20160706|ENX|1679|3527|A
20160706|EPM|3478|6821|A
20160706|EPMPRA|0|500|A
20160706|ERB|1988|6648|A
20160706|ERC|1215|16718|A
20160706|ERH|2131|2803|A
20160706|ERIC|39600|41500|A
20160706|ERN|2322|11492|A
20160706|ESNC|10395|13591|A
20160706|ESP|218|690|A
20160706|ESTE|5628|9089|A
20160706|ETAK|0|14446|A
20160706|EVBN|83|83|A
20160706|EVI|0|809|A
20160706|EVJ|430|1819|A
20160706|EVM|6181|11069|A
20160706|EVO|100|350|A
20160706|EVP|0|0|A
20160706|EVV|9218|29552|A
20160706|EVY|1478|2863|A
20160706|EXPD|100|100|A
20160706|FAX|31443|59054|A
20160706|FB|7086|14187|A
20160706|FCO|477|1557|A
20160706|FEN|2600|4531|A
20160706|FEYE|400|400|A
20160706|FITB|25586|32683|A
20160706|FLEX|36090|55312|A
20160706|FMER|15752|25075|A
20160706|FNFG|14226|17785|A
20160706|FOX|800|1700|A
20160706|FOXA|18252|31107|A
20160706|FPP|3029|8063|A
20160706|FPPWS|0|0|A
20160706|FRD|60|1300|A
20160706|FSI|1031|1100|A
20160706|FSP|18823|50546|A
20160706|FTF|5724|28089|A
20160706|FTR|58544|119337|A
20160706|FULT|17005|23951|A
20160706|GBR|24287|46597|A
20160706|GGN|64527|150914|A
20160706|GGNPRB|300|1260|A
20160706|GIG|18559|51785|A
20160706|GLD|6020|7395|A
20160706|GLO|9803|29278|A
20160706|GLOW|0|200|A
20160706|GLQ|1618|4759|A
20160706|GLU|231|720|A
20160706|GLUPRA|0|0|A
20160706|GLV|842|1195|A
20160706|GMO|200|3021|A
20160706|GORO|67535|184099|A
20160706|GPL|127235|312591|A
20160706|GPRO|86|86|A
20160706|GRC|4744|7153|A
20160706|GRF|0|0|A
20160706|GRPN|6589|14201|A
20160706|GSAT|125882|263197|A
20160706|GSB|1497|2458|A
20160706|GSS|140076|608017|A
20160706|GST|38107|95665|A
20160706|GSTPRA|500|595|A
20160706|GSTPRB|100|300|A
20160706|GSV|62104|132892|A
20160706|GT|3447|9653|A
20160706|GTE|107277|161734|A
20160706|GV|8417|49546|A
20160706|GVP|8700|9500|A
20160706|HBAN|73259|155176|A
20160706|HCHC|8377|11571|A
20160706|HEB|5568|25551|A
20160706|HH|2269|8008|A
20160706|HIMX|2871|7293|A
20160706|HLMPR|0|100|A
20160706|HLTH|5678|16376|A
20160706|HMG|800|800|A
20160706|HNW|701|6499|A
20160706|HRT|0|0|A
20160706|HTM|3763|7118|A
20160706|HUSA|4828|10096|A
20160706|IAF|312|1616|A
20160706|IBIO|1212|8058|A
20160706|IDI|1914|4773|A
20160706|IDN|820|9499|A
20160706|IEC|905|1805|A
20160706|IF|1200|2518|A
20160706|IFMI|0|0|A
20160706|IGC|7523|15433|A
20160706|IHT|200|205|A
20160706|IMH|3643|6397|A
20160706|IMO|5593|20335|A
20160706|IMUC|1404|6551|A
20160706|INFU|8517|20870|A
20160706|INS|1|101|A
20160706|INTC|34409|67721|A
20160706|INTT|0|102|A
20160706|INUV|400|2913|A
20160706|IOT|0|0|A
20160706|IPB|0|0|A
20160706|IRT|9395|29887|A
20160706|ISBC|70328|79509|A
20160706|ISDR|261|1249|A
20160706|ISL|216|1395|A
20160706|ISR|1200|2336|A
20160706|JBLU|2300|11353|A
20160706|JOB|800|1100|A
20160706|JRJR|18046|21746|A
20160706|JRS|6537|22145|A
20160706|KHC|1875|3075|A
20160706|KIQ|2400|2400|A
20160706|KLDX|22087|38508|A
20160706|LAQ|0|1411|A
20160706|LBY|6709|11552|A
20160706|LEI|1429|2939|A
20160706|LEU|0|87|A
20160706|LGL|0|100|A
20160706|LIQT|26517|31701|A
20160706|LNG|156035|321810|A
20160706|LODE|54090|135226|A
20160706|LOV|371|2487|A
20160706|LTS|18585|49217|A
20160706|LTSPRA|2569|2590|A
20160706|MAB|494|652|A
20160706|MAG|8643|20296|A
20160706|MAT|400|1099|A
20160706|MCF|4747|11494|A
20160706|MCZ|18302|19402|A
20160706|MDGN|4614|5538|A
20160706|MDLZ|9796|15634|A
20160706|MGH|35523|144763|A
20160706|MGN|2704|35040|A
20160706|MGT|362795|619292|A
20160706|MHE|0|284|A
20160706|MHH|0|0|A
20160706|MIW|0|0|A
20160706|MJCO|1568|1778|A
20160706|MLSS|202|302|A
20160706|MMV|230|400|A
20160706|MOC|985|3913|A
20160706|MRVL|10237|17660|A
20160706|MSFT|56601|89892|A
20160706|MSN|0|2114|A
20160706|MSTX|94058|300775|A
20160706|MU|64241|129406|A
20160706|MVF|2664|9988|A
20160706|MXC|79|223|A
20160706|MZA|500|3762|A
20160706|NAK|74281|76781|A
20160706|NAVB|12988|74566|A
20160706|NBH|846|5905|A
20160706|NBO|178|573|A
20160706|NBW|202|3112|A
20160706|NBY|1692|7523|A
20160706|NCB|174|1102|A
20160706|NCQ|6313|9993|A
20160706|NEN|45|50|A
20160706|NG|269965|455236|A
20160706|NGD|741448|1402142|A
20160706|NHC|4996|5396|A
20160706|NHS|9301|19684|A
20160706|NJV|0|788|A
20160706|NML|10275|25766|A
20160706|NMZ|17761|25176|A
20160706|NNVC|14835|25695|A
20160706|NOG|34508|63313|A
20160706|NOM|200|201|A
20160706|NPN|0|0|A
20160706|NRO|19368|38826|A
20160706|NSAT|0|999|A
20160706|NSPR|16100|106781|A
20160706|NSU|49072|163254|A
20160706|NTIP|5472|5542|A
20160706|NTN|1300|2749|A
20160706|NVAX|3490|4390|A
20160706|NVDA|49806|80788|A
20160706|NVX|7666|11441|A
20160706|NWSA|4000|7505|A
20160706|NYH|206|260|A
20160706|NYV|400|1500|A
20160706|NZH|2416|12609|A
20160706|OCX|706|9046|A
20160706|ODP|20850|29175|A
20160706|OGEN|200|800|A
20160706|ON|7417|12533|A
20160706|ONP|0|433|A
20160706|ONVO|142201|283111|A
20160706|ORM|1569|3299|A
20160706|PAAS|11346|13946|A
20160706|PARR|8977|19651|A
20160706|PBCT|18152|29834|A
20160706|PCGPRA|178|427|A
20160706|PCGPRB|0|100|A
20160706|PCGPRC|200|200|A
20160706|PCGPRD|200|1471|A
20160706|PCGPRE|1285|1321|A
20160706|PCGPRG|678|1982|A
20160706|PCGPRH|0|150|A
20160706|PCGPRI|0|300|A
20160706|PED|13700|15077|A
20160706|PFNX|3867|5597|A
20160706|PHF|90|10791|A
20160706|PIP|23210|43286|A
20160706|PLG|24495|56766|A
20160706|PLM|1006|1306|A
20160706|PLUG|1200|3200|A
20160706|PLX|2300|15263|A
20160706|PRK|2243|4790|A
20160706|PSLV|111416|135223|A
20160706|PTEN|6465|11831|A
20160706|PTN|10465|35042|A
20160706|PVCT|21490|31282|A
20160706|PVCTWS|15|15|A
20160706|PW|659|659|A
20160706|PWPRA|0|0|A
20160706|PYPL|200|1100|A
20160706|PZG|6878|29444|A
20160706|QCOM|4436|7082|A
20160706|RCG|50|50|A
20160706|REED|3320|4932|A
20160706|REI|17353|26612|A
20160706|RIC|24519|44178|A
20160706|RIF|4330|6130|A
20160706|RLGT|6669|11545|A
20160706|RLGTPRA|0|0|A
20160706|RNN|15490|44504|A
20160706|ROX|10278|18370|A
20160706|RVP|200|300|A
20160706|RWC|4601|7301|A
20160706|SAND|96154|254053|A
20160706|SBI|1545|2700|A
20160706|SBUX|7675|36925|A
20160706|SCEPRB|107|107|A
20160706|SCEPRC|124|301|A
20160706|SCEPRD|533|733|A
20160706|SCEPRE|0|10|A
20160706|SDPI|0|913|A
20160706|SEB|160|288|A
20160706|SENS|7714|15743|A
20160706|SGA|685|774|A
20160706|SGB|4|4|A
20160706|SIF|0|100|A
20160706|SIM|157|720|A
20160706|SIRI|488377|820499|A
20160706|SKY|5147|10683|A
20160706|SLV|18408|26104|A
20160706|SPLS|30603|38807|A
20160706|SPP|878|1195|A
20160706|SSN|0|20|A
20160706|SSRI|15079|17386|A
20160706|SSY|0|435|A
20160706|STRP|3068|4028|A
20160706|STS|19923|28298|A
20160706|SVT|57|193|A
20160706|SWHC|2541|4341|A
20160706|SYMC|7086|13288|A
20160706|SYN|18343|56342|A
20160706|SYRG|179376|362240|A
20160706|TAT|10085|20036|A
20160706|TGB|12400|15500|A
20160706|TGC|1522|1642|A
20160706|TGD|55302|75569|A
20160706|THM|56804|112663|A
20160706|TIK|0|0|A
20160706|TIS|3578|7150|A
20160706|TIVO|2122|3422|A
20160706|TMP|2746|4767|A
20160706|TOF|100|100|A
20160706|TPHS|2185|5617|A
20160706|TPLM|320697|480728|A
20160706|TRT|277|2221|A
20160706|TRX|216006|390524|A
20160706|TRXC|23235|39984|A
20160706|TXMD|72274|93723|A
20160706|TXN|1112|1377|A
20160706|UAMY|4597|14364|A
20160706|UEC|15379|52142|A
20160706|UFAB|1351|1663|A
20160706|UGAZ|100|100|A
20160706|UMPQ|17326|24629|A
20160706|UNG|11401|13700|A
20160706|UQM|3601|9521|A
20160706|URG|9596|19896|A
