Date|Symbol|Short Volume|Total Volume|Market
20110211|AAPR|152|152|A
20110211|AAU|20210|54285|A
20110211|ABL|1500|1500|A
20110211|ACU|3|257|A
20110211|ACY|745|1364|A
20110211|ADGE|2746|3804|A
20110211|ADK|100|8003|A
20110211|AE|485|935|A
20110211|AEN|13400|26300|A
20110211|AFP|31|383|A
20110211|AGX|790|2594|A
20110211|AIM|10|509|A
20110211|AIS|27764|41846|A
20110211|ALN|1500|10600|A
20110211|ANO|8312|15412|A
20110211|ANV|26043|73905|A
20110211|ANX|14755|34951|A
20110211|API|18000|54040|A
20110211|APP|42593|145482|A
20110211|APT|6200|16450|A
20110211|ARR|17155|52765|A
20110211|ATC|5450|6350|A
20110211|ATSC|100|1800|A
20110211|AUMN|1295|14415|A
20110211|AVL|113696|260602|A
20110211|AXK|400|2500|A
20110211|AXN|624|5288|A
20110211|AXU|10700|38139|A
20110211|AZC|7700|36564|A
20110211|AZK|35126|111657|A
20110211|BAA|15940|47778|A
20110211|BCV|12|1576|A
20110211|BDL|502|502|A
20110211|BFY|421|4518|A
20110211|BHB|630|980|A
20110211|BKJ|643|743|A
20110211|BKR|2023|5401|A
20110211|BLD|2400|3591|A
20110211|BLE|200|8624|A
20110211|BMJ|500|863|A
20110211|BNX|22370|43562|A
20110211|BPS|901|1200|A
20110211|BQI|54131|147792|A
20110211|BQY|339|1259|A
20110211|BRD|82137|162772|A
20110211|BRN|2320|5750|A
20110211|BTC|100|950|A
20110211|BTI|17534|29279|A
20110211|BTN|1251|7148|A
20110211|BTX|8799|34619|A
20110211|BVX|2906|6694|A
20110211|BWLA|2|0|A
20110211|BZC|100|200|A
20110211|BZM|588|588|A
20110211|CAK|8696|40812|A
20110211|CAW|100|1035|A
20110211|CBP|4700|10600|A
20110211|CCA|300|1378|A
20110211|CCF|179|660|A
20110211|CDM|26055|77813|A
20110211|CDY|4690|19190|A
20110211|CEF|138393|277567|A
20110211|CET|1000|2600|A
20110211|CEV|2995|6467|A
20110211|CFP|2755|9485|A
20110211|CFW|56126|79886|A
20110211|CGC|18286|51662|A
20110211|CGLA|1700|2100|A
20110211|CGR|32160|77470|A
20110211|CH|3653|8103|A
20110211|CHGS|9325|59525|A
20110211|CIK|9858|26457|A
20110211|CIX|121|338|A
20110211|CLM|1594|7500|A
20110211|CMFO|5123|13896|A
20110211|CMT|3200|3400|A
20110211|CNAM|11131|25631|A
20110211|CNGL|10100|12592|A
20110211|CPD|2342|3791|A
