Date|Symbol|Short Volume|Total Volume|Market
20120907|A|326541|703246|N
20120907|AA|1950859|3933357|N
20120907|AAN|64128|94887|N
20120907|AAP|125328|223421|N
20120907|AAT|20328|66956|N
20120907|AAV|11613|17435|N
20120907|AB|26469|61572|N
20120907|ABB|333962|817440|N
20120907|ABC|220050|488649|N
20120907|ABG|31260|74510|N
20120907|ABM|56099|107082|N
20120907|ABR|2387|4062|N
20120907|ABT|387172|1261434|N
20120907|ABV|140091|501536|N
20120907|ABVC|2805|5038|N
20120907|ABWPRA|1114|2287|N
20120907|ABWPRB|0|100|N
20120907|ABX|1143758|2024685|N
20120907|ACC|20541|95607|N
20120907|ACCO|159457|293729|N
20120907|ACE|60591|227471|N
20120907|ACG|29688|93995|N
20120907|ACH|45352|93307|N
20120907|ACI|1213786|2741775|N
20120907|ACM|102366|217295|N
20120907|ACMP|23094|36377|N
20120907|ACN|475972|814686|N
20120907|ACO|10016|26016|N
20120907|ACP|6733|8239|N
20120907|ACRE|4064|10598|N
20120907|ACTV|32975|69158|N
20120907|ACW|31282|52918|N
20120907|ADC|4079|5926|N
20120907|ADM|422927|864360|N
20120907|ADS|47035|80109|N
20120907|ADX|14360|32020|N
20120907|ADY|2265|10723|N
20120907|AEB|3707|4843|N
20120907|AEC|27007|68250|N
20120907|AED|7774|14581|N
20120907|AEE|175979|550549|N
20120907|AEF|1118|11249|N
20120907|AEG|67250|122942|N
20120907|AEH|1834|6875|N
20120907|AEK|3725|15423|N
20120907|AEL|50760|142687|N
20120907|AEM|206884|366405|N
20120907|AEO|236170|407422|N
20120907|AEP|196624|438478|N
20120907|AEPPRA|1931|15185|N
20120907|AER|40278|120696|N
20120907|AES|384422|1239993|N
20120907|AESPRC|500|1519|N
20120907|AET|236913|689876|N
20120907|AEV|4318|10380|N
20120907|AF|73523|135738|N
20120907|AFA|208|29549|N
20120907|AFB|3767|22127|N
20120907|AFC|2318|3610|N
20120907|AFECL|0|2120|N
20120907|AFF|7823|17844|N
20120907|AFG|46239|107616|N
20120907|AFL|459202|709405|N
20120907|AFQ|0|1911|N
20120907|AFT|10240|33004|N
20120907|AFW|2378|12992|N
20120907|AG|123218|211943|N
20120907|AGC|7314|46259|N
20120907|AGCO|97145|252051|N
20120907|AGD|7945|15308|N
20120907|AGM|2497|5972|N
20120907|AGMA|396|396|N
20120907|AGN|97410|367547|N
20120907|AGO|172093|362995|N
20120907|AGOPRB|1925|3825|N
20120907|AGOPRE|1400|2671|N
20120907|AGOPRF|109|1592|N
20120907|AGP|56207|123372|N
20120907|AGRO|6381|30666|N
20120907|AGU|92339|165384|N
20120907|AH|109255|168424|N
20120907|AHC|2957|10188|N
20120907|AHL|41411|93755|N
20120907|AHLPR|0|0|N
20120907|AHLPRA|300|400|N
20120907|AHLPRB|5114|7922|N
20120907|AHS|18249|64997|N
20120907|AHT|31362|73400|N
20120907|AHTPRA|0|950|N
20120907|AHTPRD|740|1840|N
20120907|AHTPRE|634|1391|N
20120907|AI|7134|17823|N
20120907|AIG|1138336|3464795|N
20120907|AIGWS|23150|39785|N
20120907|AIN|15997|33310|N
20120907|AIQ|869|14655|N
20120907|AIR|46451|186184|N
20120907|AIT|41739|73035|N
20120907|AIV|107319|286513|N
20120907|AIVPRZ|0|1300|N
20120907|AIZ|105144|230088|N
20120907|AJG|56590|95387|N
20120907|AKOA|38|100|N
20120907|AKOB|2389|4090|N
20120907|AKP|200|2725|N
20120907|AKR|43642|64189|N
20120907|AKS|605653|1641560|N
20120907|AL|57720|93370|N
20120907|ALB|82939|191222|N
20120907|ALC|21143|42927|N
20120907|ALE|14810|58079|N
20120907|ALEX|17273|28054|N
20120907|ALG|3029|16934|N
20120907|ALJ|56630|128650|N
20120907|ALK|83297|173500|N
20120907|ALL|442447|733244|N
20120907|ALLYPRA|3100|47455|N
20120907|ALLYPRB|18080|18793|N
20120907|ALPPRN|0|939|N
20120907|ALPPRO|800|1347|N
20120907|ALPPRP|150|150|N
20120907|ALR|46123|177876|N
20120907|ALRPRB|0|150|N
20120907|ALSN|59745|96130|N
20120907|ALU|686504|1349774|N
20120907|ALV|48996|106217|N
20120907|ALX|428|1057|N
20120907|AM|54481|119639|N
20120907|AMBO|10065|22688|N
20120907|AMD|1652739|3230616|N
20120907|AME|231132|374538|N
20120907|AMG|53005|89730|N
20120907|AMID|840|4115|N
20120907|AMP|104099|288739|N
20120907|AMPPRA|1658|3657|N
20120907|AMRC|14818|33550|N
20120907|AMRE|5134|16651|N
20120907|AMT|238062|580574|N
20120907|AMTD|494425|759810|N
20120907|AMTG|9612|45274|N
20120907|AMX|701005|1221620|N
20120907|AN|106146|174291|N
20120907|ANF|197964|295606|N
20120907|ANH|122909|218328|N
20120907|ANHPRA|0|0|N
20120907|ANHPRB|0|0|N
20120907|ANN|139066|217664|N
20120907|ANR|2033304|4414617|N
20120907|ANW|11160|22788|N
20120907|AOD|425878|635836|N
20120907|AOI|23589|65519|N
20120907|AOL|98786|286794|N
20120907|AON|239957|544313|N
20120907|AOS|34519|72672|N
20120907|AP|1859|4479|N
20120907|APA|515697|1031781|N
20120907|APAPRD|7547|10958|N
20120907|APB|650|32507|N
20120907|APC|225949|659038|N
20120907|APD|117659|215160|N
20120907|APF|1655|6516|N
20120907|APH|35636|93064|N
20120907|APL|46419|73186|N
20120907|APO|10910|25013|N
20120907|APU|5003|9793|N
20120907|ARB|27379|38888|N
20120907|ARC|6876|18786|N
20120907|ARCO|43736|164097|N
20120907|ARE|23250|66279|N
20120907|AREPRE|1408|2408|N
20120907|ARG|88502|195596|N
20120907|ARHPRC|2157|5368|N
20120907|ARI|23758|39109|N
20120907|ARIPRA|200|7641|N
20120907|ARK|8984|36068|N
20120907|ARL|400|1100|N
20120907|ARN|1388|2380|N
20120907|ARO|201406|327666|N
20120907|ARP|5083|9118|N
20120907|ARR|247066|561760|N
20120907|ARRPRA|0|4600|N
20120907|ARSD|2340|11147|N
20120907|ART|22572|51099|N
20120907|ARW|45548|93660|N
20120907|ARX|10049|24560|N
20120907|ARY|2213|5228|N
20120907|ASA|3609|13681|N
20120907|ASG|6240|9647|N
20120907|ASGN|29495|71121|N
20120907|ASH|52185|160217|N
20120907|ASI|2943|10768|N
20120907|ASP|2850|5791|N
20120907|ASR|3366|8317|N
20120907|ASX|289688|481592|N
20120907|AT|37118|66411|N
20120907|ATE|698|698|N
20120907|ATI|216295|489500|N
20120907|ATK|53693|110220|N
20120907|ATLS|23821|62242|N
20120907|ATO|26610|70572|N
20120907|ATR|30716|78384|N
20120907|ATU|94608|186059|N
20120907|ATV|0|795|N
20120907|ATW|77330|152721|N
20120907|AU|210210|374931|N
20120907|AUO|167379|288305|N
20120907|AUPRA|1800|9702|N
20120907|AUQ|259084|545260|N
20120907|AUY|772954|1419946|N
20120907|AV|105472|113487|N
20120907|AVA|29142|77994|N
20120907|AVB|48867|106146|N
20120907|AVD|16546|40203|N
20120907|AVF|5687|18961|N
20120907|AVG|37664|123340|N
20120907|AVK|6684|28342|N
20120907|AVP|250567|602312|N
20120907|AVT|98788|197658|N
20120907|AVV|2961|16480|N
20120907|AVX|47320|151923|N
20120907|AVY|54973|139393|N
20120907|AWC|36711|114563|N
20120907|AWF|12161|32817|N
20120907|AWH|21787|50043|N
20120907|AWI|17662|38671|N
20120907|AWK|90763|286194|N
20120907|AWP|22571|37987|N
20120907|AWR|11097|20513|N
20120907|AXE|13188|36229|N
20120907|AXL|133063|275971|N
20120907|AXP|303240|1102849|N
20120907|AXR|1000|1000|N
20120907|AXS|80027|161340|N
20120907|AXSPRA|1414|5877|N
20120907|AXSPRC|1639|4322|N
20120907|AYI|64272|110624|N
20120907|AYN|1125|2498|N
20120907|AYR|30236|65468|N
20120907|AZN|147504|307446|N
20120907|AZO|28333|51374|N
20120907|AZZ|16977|32938|N
20120907|B|16500|39382|N
20120907|BA|192936|908437|N
20120907|BAC|11033873|25685633|N
20120907|BACPRC|3066|17585|N
20120907|BACPRD|9560|17982|N
20120907|BACPRE|1688|7014|N
20120907|BACPRH|27924|65647|N
20120907|BACPRI|3544|12199|N
20120907|BACPRJ|1400|8520|N
20120907|BACPRL|126|252|N
20120907|BACPRU|4703|12619|N
20120907|BACPRV|3306|11938|N
20120907|BACPRW|1889|4531|N
20120907|BACPRX|1276|7866|N
20120907|BACPRY|4541|16603|N
20120907|BACPRZ|5156|14802|N
20120907|BACWSA|62915|319274|N
20120907|BACWSB|1750|87986|N
20120907|BAF|1977|3659|N
20120907|BAH|33018|98447|N
20120907|BAK|57900|76011|N
20120907|BALT|13600|25135|N
20120907|BAM|78313|163326|N
20120907|BAP|17020|40379|N
20120907|BAS|78139|206033|N
20120907|BAX|193722|476835|N
20120907|BBD|922482|1722270|N
20120907|BBDO|0|0|N
20120907|BBF|806|2784|N
20120907|BBG|102953|217404|N
20120907|BBK|800|6372|N
20120907|BBL|215983|316787|N
20120907|BBN|18455|33565|N
20120907|BBT|375603|823739|N
20120907|BBTPRD|1496|15560|N
20120907|BBTPRE|10486|45523|N
20120907|BBVA|177452|383962|N
20120907|BBW|1706|5648|N
20120907|BBX|2881|4856|N
20120907|BBY|927381|1309661|N
20120907|BC|114869|244134|N
20120907|BCA|11631|15352|N
20120907|BCE|42425|95071|N
20120907|BCEI|25236|39737|N
20120907|BCF|32353|53685|N
20120907|BCH|1966|8246|N
20120907|BCO|66639|150481|N
20120907|BCR|49356|254804|N
20120907|BCS|371071|1269729|N
20120907|BCSPR|8360|15892|N
20120907|BCSPRA|13279|123902|N
20120907|BCSPRC|9717|23918|N
20120907|BCSPRD|7494|47821|N
20120907|BCX|7818|20811|N
20120907|BDC|52398|87638|N
20120907|BDJ|14911|110498|N
20120907|BDN|82558|174010|N
20120907|BDNPRD|0|0|N
20120907|BDNPRE|0|1015|N
20120907|BDX|121655|203560|N
20120907|BEAM|53346|132823|N
20120907|BEAMPRACL|0|0|N
20120907|BEE|118748|240327|N
20120907|BEEPRA|0|4450|N
20120907|BEEPRB|500|500|N
20120907|BEEPRC|0|700|N
20120907|BEN|185572|316145|N
20120907|BFA|200|2423|N
20120907|BFB|73326|133425|N
20120907|BFK|2296|11192|N
20120907|BFO|1000|1300|N
20120907|BFR|7011|11711|N
20120907|BFS|4032|7769|N
20120907|BFSPRA|50|489|N
20120907|BFSPRB|400|400|N
20120907|BFZ|3104|18110|N
20120907|BG|66185|216605|N
20120907|BGC|105516|181734|N
20120907|BGCA|100|2615|N
20120907|BGEPRB|504|703|N
20120907|BGG|26552|51901|N
20120907|BGR|7265|18768|N
20120907|BGS|32610|46896|N
20120907|BGT|7985|22664|N
20120907|BGX|3436|11255|N
20120907|BGY|162527|310526|N
20120907|BH|857|2138|N
20120907|BHD|1264|5209|N
20120907|BHE|22961|47892|N
20120907|BHI|378700|851435|N
20120907|BHK|11533|32714|N
20120907|BHL|5676|11295|N
20120907|BHP|231393|532204|N
20120907|BHY|1824|4700|N
20120907|BID|215295|405746|N
20120907|BIE|300|1060|N
20120907|BIF|800|3100|N
20120907|BIG|93881|200479|N
20120907|BIN|24251|51315|N
20120907|BIO|11101|25452|N
20120907|BIOB|0|0|N
20120907|BIP|13989|26161|N
20120907|BITA|100|200|N
20120907|BJZ|867|7455|N
20120907|BK|713747|1893482|N
20120907|BKD|82219|194764|N
20120907|BKE|27299|59502|N
20120907|BKH|15056|66576|N
20120907|BKI|13664|54367|N
20120907|BKK|10471|11461|N
20120907|BKN|2782|6652|N
20120907|BKPRE|2800|6000|N
20120907|BKPRF|2316|4721|N
20120907|BKS|79926|151718|N
20120907|BKT|7079|30022|N
20120907|BKU|50439|92299|N
20120907|BKW|86591|125770|N
20120907|BLC|75445|198326|N
20120907|BLH|1560|1686|N
20120907|BLK|52397|123617|N
20120907|BLL|39766|121251|N
20120907|BLOX|48879|89597|N
20120907|BLT|36699|92368|N
20120907|BLW|9536|44043|N
20120907|BLX|12676|57318|N
20120907|BMA|13890|26311|N
20120907|BME|1432|3832|N
20120907|BMI|11887|25964|N
20120907|BMLPRG|0|700|N
20120907|BMLPRH|1399|3900|N
20120907|BMLPRI|4555|24966|N
20120907|BMLPRJ|1151|8077|N
20120907|BMLPRL|10539|16080|N
20120907|BMLPRN|0|1962|N
20120907|BMLPRO|0|400|N
20120907|BMLPRQ|8597|42860|N
20120907|BMO|64104|137611|N
20120907|BMR|62779|155980|N
20120907|BMRPRA|500|1300|N
20120907|BMS|100074|167223|N
20120907|BMY|1207223|2406471|N
20120907|BMYPR|0|0|N
