Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20190607|A|116|156570|387285|N
20190607|AA|4041|414550|617387|N
20190607|AAAU|0|0|3750|N
20190607|AABA|0|106067|187453|N
20190607|AAC|7|67505|253542|N
20190607|AAL|0|45819|104290|N
20190607|AAN|1881|61454|99993|N
20190607|AAOI|0|1397|1397|N
20190607|AAON|0|1452|1552|N
20190607|AAP|100|84236|117119|N
20190607|AAPL|1230|529191|701747|N
20190607|AAT|0|41987|75527|N
20190607|AAU|0|4333|4433|N
20190607|AAWW|0|900|1200|N
20190607|AAXJ|0|7257|10277|N
20190607|AAXN|0|1300|2200|N
20190607|AB|873|25144|51382|N
20190607|ABB|685|296465|402178|N
20190607|ABBV|3799|358030|1425346|N
20190607|ABC|128|173917|352528|N
20190607|ABCB|0|500|500|N
20190607|ABEO|0|558|1158|N
20190607|ABEV|4500|3877107|5169710|N
20190607|ABG|0|14090|26658|N
20190607|ABIO|0|100|100|N
20190607|ABM|0|101256|148984|N
20190607|ABMD|0|1000|2100|N
20190607|ABR|1966|197593|305365|N
20190607|ABRPRA|0|863|1314|N
20190607|ABRPRB|0|0|635|N
20190607|ABRPRC|0|100|465|N
20190607|ABT|6711|586299|1185367|N
20190607|ABTX|0|0|200|N
20190607|ABUS|0|1400|1500|N
20190607|AC|0|401|907|N
20190607|ACA|956|166875|251022|N
20190607|ACAD|0|2369|7594|N
20190607|ACB|105160|924905|1385710|N
20190607|ACBI|0|337|337|N
20190607|ACC|63|82962|139391|N
20190607|ACCO|0|46038|128948|N
20190607|ACGL|0|12104|24581|N
20190607|ACGLO|0|100|300|N
20190607|ACGLP|0|916|4546|N
20190607|ACH|0|1300|5439|N
20190607|ACHC|0|600|1299|N
20190607|ACHN|800|5300|8800|N
20190607|ACHV|0|304|704|N
20190607|ACIA|0|3399|10290|N
20190607|ACIU|0|819|2219|N
20190607|ACIW|0|3200|3900|N
20190607|ACLS|0|200|200|N
20190607|ACM|1|151362|484375|N
20190607|ACMR|0|500|500|N
20190607|ACN|1853|226286|661562|N
20190607|ACOR|0|11373|18261|N
20190607|ACP|0|4369|7978|N
20190607|ACRE|109|12990|29928|N
20190607|ACRS|0|800|1900|N
20190607|ACRX|0|19938|26738|N
20190607|ACTG|0|200|300|N
20190607|ACV|0|1906|7461|N
20190607|ACWI|0|67817|73935|N
20190607|ACWV|0|2091|3359|N
20190607|ACWX|0|27429|37829|N
20190607|ADAP|0|400|1200|N
20190607|ADBE|0|4247|12820|N
20190607|ADC|0|22066|44651|N
20190607|ADES|0|300|300|N
20190607|ADI|0|6902|15510|N
20190607|ADM|839|273877|587647|N
20190607|ADMA|200|8372|23172|N
20190607|ADMP|0|800|1400|N
20190607|ADMS|0|100|100|N
20190607|ADNT|811|204452|285676|N
20190607|ADOM|0|0|1000|N
20190607|ADP|0|4153|8429|N
20190607|ADRO|100|2000|2900|N
20190607|ADS|9|54275|92119|N
20190607|ADSK|0|18647|21238|N
20190607|ADSW|0|24885|93380|N
20190607|ADT|5541|335849|550135|N
20190607|ADTN|0|2700|3800|N
20190607|ADUS|0|200|500|N
20190607|ADVM|0|2445|2445|N
20190607|ADX|0|8764|13232|N
20190607|ADXS|0|700|2400|N
20190607|AEB|0|2163|16029|N
20190607|AEDCL|0|100|7519|N
20190607|AEE|542|174939|393147|N
20190607|AEF|0|0|300|N
20190607|AEG|1578|153313|304279|N
20190607|AEGN|0|500|2100|N
20190607|AEH|0|3975|15881|N
20190607|AEIS|0|1452|1752|N
20190607|AEL|1252|94652|231908|N
20190607|AEM|697|140693|309880|N
20190607|AEO|174|572901|1059889|N
20190607|AEP|3287|394999|714588|N
20190607|AEPPRB|0|668|778|N
20190607|AER|200|87273|317517|N
20190607|AERI|0|700|1200|N
20190607|AES|4650|523567|886765|N
20190607|AEZS|5550|8765|13697|N
20190607|AFB|0|3147|7669|N
20190607|AFC|0|2562|3544|N
20190607|AFG|100|42480|78795|N
20190607|AFGB|0|0|345|N
20190607|AFGE|0|255|3339|N
20190607|AFGH|0|404|1173|N
20190607|AFH|1000|1000|1500|N
20190607|AFI|2|28402|44796|N
20190607|AFIN|0|2107|4407|N
20190607|AFL|3569|435275|738335|N
20190607|AFMD|400|5600|8200|N
20190607|AFT|0|2071|8284|N
20190607|AG|18082|362736|433443|N
20190607|AGCO|0|43247|69239|N
20190607|AGD|0|6241|10688|N
20190607|AGE|0|0|100|N
20190607|AGEN|0|3503|5403|N
20190607|AGG|2000|69936|77321|N
20190607|AGI|13537|320023|588742|N
20190607|AGIO|0|2029|2029|N
20190607|AGM|0|4130|7471|N
20190607|AGMA|0|200|328|N
20190607|AGMH|0|967|967|N
20190607|AGMPRA|0|0|676|N
20190607|AGMPRBCL|0|1200|1800|N
20190607|AGMPRC|0|0|112|N
20190607|AGMPRD|0|3238|8768|N
20190607|AGN|497|167994|403483|N
20190607|AGNC|400|46052|55607|N
20190607|AGNCB|0|100|200|N
20190607|AGNCM|0|400|532|N
20190607|AGNCN|0|300|500|N
20190607|AGO|0|97061|130197|N
20190607|AGOPRE|0|1489|2428|N
20190607|AGOPRF|0|0|895|N
20190607|AGQ|0|16380|24680|N
20190607|AGR|250|70153|108734|N
20190607|AGRO|0|26535|62577|N
20190607|AGRX|0|900|1500|N
20190607|AGS|2000|26672|69046|N
20190607|AGX|54|12341|18056|N
20190607|AGYS|0|0|200|N
20190607|AHC|0|940|1272|N
20190607|AHH|500|28981|49058|N
20190607|AHLPRC|0|316|10426|N
20190607|AHLPRD|0|2512|9798|N
20190607|AHT|1|98982|197627|N
20190607|AHTPRD|0|100|1215|N
20190607|AHTPRF|0|3198|4362|N
20190607|AHTPRG|0|782|1782|N
20190607|AHTPRH|0|0|8|N
20190607|AHTPRI|100|1556|2393|N
20190607|AI|1020|91277|124883|N
20190607|AIC|0|800|800|N
20190607|AIF|1768|6239|9780|N
20190607|AIG|755|413707|1058834|N
20190607|AIGPRA|64|3614|21116|N
20190607|AIGWS|0|9396|34888|N
20190607|AIHS|0|331|331|N
20190607|AIMC|0|262|1062|N
20190607|AIMT|0|2300|2700|N
20190607|AIN|0|21974|46629|N
20190607|AINV|0|6045|6545|N
20190607|AIPRC|0|2239|5220|N
20190607|AIR|0|31516|57201|N
20190607|AIRG|0|400|600|N
20190607|AIT|0|11223|20209|N
20190607|AIV|22|86306|217049|N
20190607|AIW|0|271|371|N
20190607|AIY|0|1|200|N
20190607|AIZ|0|32011|60916|N
20190607|AIZP|240|974|1073|N
20190607|AJG|96|113503|334781|N
20190607|AJRD|0|81148|120408|N
20190607|AJX|661|11495|15891|N
20190607|AKAM|0|8346|9346|N
20190607|AKBA|0|4594|11682|N
20190607|AKCA|0|100|100|N
20190607|AKER|0|100|100|N
20190607|AKG|0|2777|2777|N
20190607|AKOA|0|0|17|N
20190607|AKOB|0|415|567|N
20190607|AKR|56|86487|113420|N
20190607|AKRX|0|13704|18416|N
20190607|AKS|607|481075|764291|N
20190607|AKTS|0|218|418|N
20190607|AL|107|196418|380400|N
20190607|ALB|639|152863|288210|N
20190607|ALBO|0|300|1000|N
20190607|ALC|168|27618|80852|N
20190607|ALDR|0|3900|9400|N
20190607|ALDX|0|100|600|N
20190607|ALE|0|35839|52805|N
20190607|ALEC|0|1281|1281|N
20190607|ALEX|0|36304|64479|N
20190607|ALG|0|4560|7299|N
20190607|ALGN|0|700|1600|N
20190607|ALGT|0|700|700|N
20190607|ALIM|0|400|400|N
20190607|ALK|358|114441|208097|N
20190607|ALKS|0|5493|12292|N
20190607|ALL|3325|148833|411239|N
20190607|ALLE|212|49839|120290|N
20190607|ALLK|6465|11165|11465|N
20190607|ALLO|0|3963|4863|N
20190607|ALLPRA|0|13674|29880|N
20190607|ALLPRB|0|2078|20228|N
20190607|ALLPRD|0|822|2445|N
20190607|ALLPRE|0|16392|31244|N
20190607|ALLPRF|0|141|1897|N
20190607|ALLPRG|2029|2729|10990|N
20190607|ALLT|0|0|100|N
20190607|ALLY|635|235078|801187|N
20190607|ALLYPRA|0|14476|25543|N
20190607|ALNY|0|1471|1671|N
20190607|ALOT|0|0|100|N
20190607|ALPPRQ|0|108|3115|N
20190607|ALPRA|0|3635|9131|N
20190607|ALRM|0|1100|3015|N
20190607|ALRN|0|100|600|N
20190607|ALSN|10|30102|155819|N
20190607|ALT|0|1400|1400|N
20190607|ALTM|0|5461|8121|N
20190607|ALTR|0|1435|1935|N
20190607|ALV|982|50412|83936|N
20190607|ALX|0|956|1527|N
20190607|ALXN|0|3800|9113|N
20190607|AM|9075|431273|574339|N
20190607|AMAG|0|1079|4979|N
20190607|AMAL|0|100|100|N
20190607|AMAT|100|81192|213054|N
20190607|AMBA|0|4148|12991|N
20190607|AMBC|0|500|850|N
20190607|AMBCW|0|188|188|N
20190607|AMBO|0|0|200|N
20190607|AMBR|0|30013|70060|N
20190607|AMC|11548|331370|455771|N
20190607|AMCX|0|1900|2215|N
20190607|AMD|12231|1418687|2438294|N
20190607|AME|1865|112390|285384|N
20190607|AMED|0|3648|4348|N
20190607|AMEH|0|1681|1881|N
20190607|AMG|12|47683|68048|N
20190607|AMGN|500|3892|10804|N
20190607|AMH|0|139118|262482|N
20190607|AMHPRD|0|235|1712|N
20190607|AMHPRE|0|487|3060|N
20190607|AMHPRF|0|1630|4172|N
20190607|AMHPRG|0|382|2717|N
20190607|AMHPRH|0|1518|3180|N
20190607|AMID|0|1597|2406|N
20190607|AMJ|0|7060|10959|N
20190607|AMKR|0|15459|22561|N
20190607|AMLP|20400|1061088|1156459|N
20190607|AMN|2|34041|62687|N
20190607|AMOT|0|200|200|N
20190607|AMP|1221|108746|196262|N
20190607|AMPE|0|200|200|N
20190607|AMPH|0|4250|4918|N
20190607|AMR|14131|18131|18231|N
20190607|AMRC|1725|27677|50164|N
20190607|AMRH|0|2100|3100|N
20190607|AMRN|6246|106258|195416|N
20190607|AMRS|0|2300|3400|N
20190607|AMRX|300|82928|182824|N
20190607|AMS|0|0|100|N
20190607|AMSC|100|1100|2100|N
20190607|AMSF|0|200|600|N
20190607|AMSWA|0|100|100|N
20190607|AMT|1065|151331|323513|N
20190607|AMTD|0|36590|40665|N
20190607|AMU|0|9300|9300|N
20190607|AMWD|0|200|200|N
20190607|AMX|804|147775|251605|N
20190607|AMZA|584|15636|20036|N
20190607|AMZN|0|8660|13002|N
20190607|AN|0|114455|146655|N
20190607|ANAB|0|400|1200|N
20190607|ANDE|0|300|1100|N
20190607|ANDX|1002|41956|132381|N
20190607|ANET|3404|236198|357484|N
20190607|ANF|12896|349434|745624|N
20190607|ANFI|30833|45121|79246|N
20190607|ANGI|0|7020|11832|N
20190607|ANGL|0|300|2200|N
20190607|ANGO|0|100|1558|N
20190607|ANH|33|39860|76611|N
20190607|ANHPRA|0|2048|2558|N
20190607|ANHPRC|0|0|300|N
20190607|ANIK|0|400|400|N
20190607|ANIP|0|400|400|N
20190607|ANSS|0|1213|2013|N
20190607|ANTM|292|145340|270011|N
20190607|AOBC|0|4160|8313|N
20190607|AOD|250|16533|38185|N
20190607|AON|0|107341|209613|N
20190607|AOR|0|452|452|N
20190607|AOS|115|162927|335454|N
20190607|AOSL|0|200|300|N
20190607|AP|10|510|4680|N
20190607|APA|271|623698|745638|N
20190607|APAM|0|45747|80419|N
20190607|APC|1797|590799|1529943|N
20190607|APD|222|137706|303298|N
20190607|APEI|0|1200|1300|N
20190607|APH|416|105528|237850|N
20190607|APHA|212001|1167114|1448569|N
20190607|APLE|665|168243|244312|N
20190607|APLS|0|1709|2409|N
20190607|APLT|648|648|648|N
20190607|APO|2420|114206|265097|N
20190607|APOG|0|100|100|N
20190607|APOPRA|0|2908|5877|N
20190607|APOPRB|0|2110|2326|N
20190607|APPF|0|200|200|N
20190607|APPN|0|1334|2181|N
20190607|APPS|200|10745|42297|N
20190607|APRN|226|161061|225645|N
20190607|APTO|100|1500|1600|N
20190607|APTS|3300|29609|53756|N
20190607|APTV|17|246200|325056|N
20190607|APTX|0|413|413|N
20190607|APU|1400|43549|168101|N
20190607|APY|13|91892|181746|N
20190607|APYX|0|600|1440|N
20190607|AQ|409|52307|81347|N
20190607|AQB|0|0|200|N
20190607|AQMS|0|5800|10000|N
20190607|AQN|814|34321|51338|N
20190607|AQNA|0|0|8514|N
20190607|AQNB|0|876|23700|N
20190607|AQST|0|200|200|N
20190607|AQUA|5380|65322|107637|N
20190607|AR|0|743048|1019035|N
20190607|ARA|0|23098|35681|N
20190607|ARAY|8453|37979|83781|N
20190607|ARC|0|2320|14595|N
20190607|ARCB|0|500|800|N
20190607|ARCC|0|24199|51100|N
20190607|ARCE|0|100|100|N
20190607|ARCH|51|26117|34881|N
20190607|ARCO|0|85418|111161|N
20190607|ARCW|428|528|528|N
20190607|ARD|0|11555|16252|N
20190607|ARDC|0|4993|15676|N
20190607|ARDX|0|100|200|N
20190607|ARE|49|66900|129089|N
20190607|AREPRD|0|100|431|N
20190607|ARES|2500|97829|234828|N
20190607|ARESPRA|0|0|8842|N
20190607|AREX|0|1300|1300|N
20190607|ARGD|0|0|922|N
20190607|ARGO|0|16834|47881|N
20190607|ARI|0|78266|185399|N
20190607|ARIPRCCL|0|0|9202|N
20190607|ARKK|0|200|200|N
20190607|ARL|0|598|10022|N
20190607|ARLO|3400|58203|100153|N
20190607|ARLP|0|952|1452|N
20190607|ARMK|0|392982|569493|N
20190607|ARNA|0|2600|3600|N
20190607|ARNC|0|517934|872427|N
20190607|AROC|0|136899|213648|N
20190607|ARQL|600|7096|24677|N
20190607|ARR|2002|137098|365145|N
20190607|ARRPRA|0|0|200|N
20190607|ARRPRB|0|200|5286|N
20190607|ARRY|0|22574|48495|N
