Date|Symbol|Short Volume|Total Volume|Market
20150317|A|103936|432442|N
20150317|AA|1950100|4754200|N
20150317|AAC|28458|37720|N
20150317|AAN|104630|183881|N
20150317|AAP|52407|135362|N
20150317|AAPRB|20352|27271|N
20150317|AAT|18780|34275|N
20150317|AAV|5367|19635|N
20150317|AB|38645|127188|N
20150317|ABB|144789|251871|N
20150317|ABBV|942727|2262900|N
20150317|ABC|291853|455862|N
20150317|ABEV|1025718|1803347|N
20150317|ABG|23382|32286|N
20150317|ABM|96841|170942|N
20150317|ABR|18638|29876|N
20150317|ABRN|231|1092|N
20150317|ABRPRA|1000|3814|N
20150317|ABRPRB|250|1200|N
20150317|ABRPRC|0|0|N
20150317|ABT|1275686|2050469|N
20150317|ABX|1489120|2962281|N
20150317|ACC|108804|207987|N
20150317|ACCO|79986|161270|N
20150317|ACE|282316|430605|N
20150317|ACG|119081|160696|N
20150317|ACH|10495|19873|N
20150317|ACI|938979|1613395|N
20150317|ACM|292629|393371|N
20150317|ACN|287159|670442|N
20150317|ACP|1068|16231|N
20150317|ACRE|11570|37264|N
20150317|ACT|331168|667173|N
20150317|ACTPRA|18|2352|N
20150317|ACW|7669|25768|N
20150317|ADC|15353|38477|N
20150317|ADM|510610|1228599|N
20150317|ADPT|6751|9462|N
20150317|ADS|21388|35851|N
20150317|ADT|307197|579208|N
20150317|ADX|7678|11937|N
20150317|AEB|11576|12171|N
20150317|AEC|77639|123576|N
20150317|AED|1715|3187|N
20150317|AEE|255627|377245|N
20150317|AEG|266050|410431|N
20150317|AEH|1130|8814|N
20150317|AEK|3496|8487|N
20150317|AEL|80393|132717|N
20150317|AEM|216202|354141|N
20150317|AEO|551092|918383|N
20150317|AEP|262135|632251|N
20150317|AER|77516|136976|N
20150317|AES|544024|1162629|N
20150317|AESPRC|642|642|N
20150317|AET|244291|507402|N
20150317|AF|93190|162871|N
20150317|AFA|3660|5075|N
20150317|AFB|7971|34711|N
20150317|AFC|1219|7093|N
20150317|AFG|50482|102407|N
20150317|AFGE|3444|17263|N
20150317|AFL|269091|555550|N
20150317|AFM|101|234|N
20150317|AFPRC|2839|6390|N
20150317|AFQ|375|1047|N
20150317|AFSD|2797|5997|N
20150317|AFSIPRA|322|3822|N
20150317|AFSIPRB|1712|5610|N
20150317|AFSIPRC|259|859|N
20150317|AFT|4111|16800|N
20150317|AFW|1846|12534|N
20150317|AG|126032|217854|N
20150317|AGC|4803|27989|N
20150317|AGCO|151105|252226|N
20150317|AGD|3705|18925|N
20150317|AGI|79701|145317|N
20150317|AGM|6091|11648|N
20150317|AGMA|100|500|N
20150317|AGMPRA|0|0|N
20150317|AGMPRB|0|0|N
20150317|AGMPRC|410|414|N
20150317|AGN|0|0|N
20150317|AGO|80418|162767|N
20150317|AGOPRB|0|0|N
20150317|AGOPRE|876|1462|N
20150317|AGOPRF|0|1100|N
20150317|AGRO|9756|38365|N
20150317|AGU|73144|87258|N
20150317|AGX|7630|20910|N
20150317|AHC|4315|17232|N
20150317|AHH|5910|15522|N
20150317|AHL|67862|118366|N
20150317|AHLPRA|371|4722|N
20150317|AHLPRB|55|4146|N
20150317|AHLPRC|100|2242|N
20150317|AHP|5647|16141|N
20150317|AHS|44250|84900|N
20150317|AHT|54781|94638|N
20150317|AHTPRA|300|400|N
20150317|AHTPRD|1150|2350|N
20150317|AHTPRE|100|1750|N
20150317|AI|22417|44204|N
20150317|AIB|100|2287|N
20150317|AIF|4214|10948|N
20150317|AIG|1090195|1847672|N
20150317|AIGWS|2462|32320|N
20150317|AIN|22138|31858|N
20150317|AIR|31535|64437|N
20150317|AIT|36699|75685|N
20150317|AIV|152530|255906|N
20150317|AIVPRA|200|401|N
20150317|AIVPRZ|0|15|N
20150317|AIW|500|569|N
20150317|AIY|200|3215|N
20150317|AIZ|62093|153480|N
20150317|AJG|186329|306499|N
20150317|AJX|552|3090|N
20150317|AKOA|0|600|N
20150317|AKOB|1846|13282|N
20150317|AKP|2270|6151|N
20150317|AKR|70195|144570|N
20150317|AKS|539352|1869409|N
20150317|AL|30857|72731|N
20150317|ALB|83533|214358|N
20150317|ALDW|21155|33400|N
20150317|ALE|77834|109449|N
20150317|ALEX|62291|113919|N
20150317|ALG|2205|5822|N
20150317|ALJ|41354|120665|N
20150317|ALK|288359|487883|N
20150317|ALL|526715|949571|N
20150317|ALLE|72121|133836|N
20150317|ALLPRA|1283|3986|N
20150317|ALLPRB|3794|7380|N
20150317|ALLPRC|1990|3104|N
20150317|ALLPRD|110|1117|N
20150317|ALLPRE|3716|8572|N
20150317|ALLPRF|2042|3613|N
20150317|ALLY|283267|559243|N
20150317|ALLYPRA|7030|37652|N
20150317|ALLYPRB|3829|16186|N
20150317|ALPPRN|1102|2367|N
20150317|ALPPRO|0|300|N
20150317|ALPPRP|0|0|N
20150317|ALR|46993|149146|N
20150317|ALRPRB|0|0|N
20150317|ALSN|113376|280472|N
20150317|ALU|395604|967791|N
20150317|ALV|52713|64746|N
20150317|ALX|344|1250|N
20150317|AM|19557|32903|N
20150317|AMBR|9721|17058|N
20150317|AMC|12110|36795|N
20150317|AME|201847|289659|N
20150317|AMFW|11113|21215|N
20150317|AMG|14505|36437|N
20150317|AMH|157098|292040|N
20150317|AMHPRA|0|643|N
20150317|AMHPRB|0|299|N
20150317|AMHPRC|8645|8954|N
20150317|AMID|964|2591|N
20150317|AMP|58594|140880|N
20150317|AMRC|7688|12340|N
20150317|AMT|313095|905463|N
20150317|AMTD|242900|348534|N
20150317|AMTG|21450|46922|N
20150317|AMTGPRA|787|851|N
20150317|AMTPRA|785|2082|N
20150317|AMTPRB|976|3625|N
20150317|AMX|345426|696911|N
20150317|AN|70918|253885|N
20150317|ANET|65116|257670|N
20150317|ANF|286041|511627|N
20150317|ANFI|8467|15746|N
20150317|ANH|45141|159127|N
20150317|ANHPRA|0|300|N
20150317|ANHPRB|0|0|N
20150317|ANHPRC|0|700|N
20150317|ANN|55319|134330|N
20150317|ANR|810142|1530197|N
20150317|ANTM|169399|358361|N
20150317|ANW|42232|108032|N
20150317|AOD|36512|93030|N
20150317|AOI|34784|120994|N
20150317|AOL|65121|181046|N
20150317|AON|113491|282711|N
20150317|AOS|143332|247663|N
20150317|AP|4794|12348|N
20150317|APA|353554|637255|N
20150317|APAM|74814|113327|N
20150317|APB|100|5700|N
20150317|APC|533530|1774947|N
20150317|APD|120965|202354|N
20150317|APF|401|43780|N
20150317|APH|146711|340211|N
20150317|APO|37428|99889|N
20150317|APU|11364|21908|N
20150317|AR|145723|248619|N
20150317|ARC|17003|72589|N
20150317|ARCO|285190|461716|N
20150317|ARCX|990|1915|N
20150317|ARDC|2148|12645|N
20150317|ARE|58410|127966|N
20150317|AREPRE|586|3100|N
20150317|ARES|2513|6973|N
20150317|ARG|34504|67596|N
20150317|ARHPRC|3635|7513|N
20150317|ARI|104731|249360|N
20150317|ARIPRA|0|0|N
20150317|ARL|394|400|N
20150317|ARMF|1317|4694|N
20150317|ARMK|275608|426589|N
20150317|ARO|166113|303404|N
20150317|ARP|40914|87384|N
20150317|ARPI|28510|50432|N
20150317|ARPPRD|3550|5356|N
20150317|ARR|514618|702493|N
20150317|ARRPRA|762|2200|N
20150317|ARRPRB|1478|2188|N
20150317|ARU|4458|6863|N
20150317|ARW|112402|198350|N
20150317|ARY|1588|4684|N
20150317|ASA|3120|8026|N
20150317|ASB|122794|182835|N
20150317|ASBPRB|0|2500|N
20150317|ASC|6000|19939|N
20150317|ASG|4222|9021|N
20150317|ASGN|31082|68708|N
20150317|ASH|57288|143635|N
20150317|ASPN|11570|18663|N
20150317|ASR|4825|8379|N
20150317|ASX|74274|309352|N
20150317|AT|53966|134097|N
20150317|ATE|0|325|N
20150317|ATEN|8210|22986|N
20150317|ATHM|58574|104719|N
20150317|ATI|108798|194993|N
20150317|ATLS|6596|70688|N
20150317|ATO|119566|191836|N
20150317|ATR|66447|98568|N
20150317|ATTO|7416|12245|N
20150317|ATU|198951|303867|N
20150317|ATV|0|4700|N
20150317|ATW|201326|293227|N
20150317|AU|255930|760279|N
20150317|AUO|205335|357125|N
20150317|AUQ|216011|448078|N
20150317|AUY|1036255|1836354|N
20150317|AV|25368|46117|N
20150317|AVA|73943|137074|N
20150317|AVAL|33581|97547|N
20150317|AVB|58588|109005|N
20150317|AVD|41760|55103|N
20150317|AVG|34382|76461|N
20150317|AVH|5267|29240|N
20150317|AVIV|16985|44030|N
20150317|AVK|3826|15001|N
20150317|AVOL|3723|15176|N
20150317|AVP|678077|2174805|N
20150317|AVT|219668|391810|N
20150317|AVV|1530|14140|N
20150317|AVX|39032|104719|N
20150317|AVY|47582|108914|N
20150317|AWF|7395|40190|N
20150317|AWH|39623|84737|N
20150317|AWI|69189|96394|N
20150317|AWK|154732|242603|N
20150317|AWP|17957|48563|N
20150317|AWR|49756|57935|N
20150317|AXE|29244|46930|N
20150317|AXL|155404|213251|N
20150317|AXLL|39984|68507|N
20150317|AXP|474516|1131333|N
20150317|AXR|400|538|N
20150317|AXS|81947|173306|N
20150317|AXSPRC|806|10526|N
20150317|AXSPRD|518|3084|N
20150317|AXTA|73981|191716|N
20150317|AYI|27328|57429|N
20150317|AYN|0|741|N
20150317|AYR|32443|61640|N
20150317|AZN|96271|203182|N
20150317|AZO|13432|73500|N
20150317|AZZ|26189|39587|N
20150317|B|35892|52187|N
20150317|BA|296551|646986|N
20150317|BABA|1204353|2250351|N
20150317|BAC|8875450|17114868|N
20150317|BACPRD|6361|11791|N
20150317|BACPRE|4876|8080|N
20150317|BACPRI|755|4635|N
20150317|BACPRL|1287|1865|N
20150317|BACPRW|7126|27449|N
20150317|BACPRY|20157|89662|N
20150317|BACPRZ|1871|3028|N
20150317|BACWSA|19611|47732|N
20150317|BACWSB|92|20400|N
20150317|BAF|1333|2701|N
20150317|BAH|50589|162728|N
20150317|BAK|104224|163728|N
20150317|BALT|49226|92237|N
20150317|BAM|110302|174607|N
20150317|BANC|16349|28259|N
20150317|BANCPRC|0|100|N
20150317|BAP|13088|49442|N
20150317|BAS|302231|640896|N
20150317|BAX|227870|598359|N
20150317|BBD|1875265|3719911|N
20150317|BBDO|6352|9542|N
20150317|BBF|686|3762|N
20150317|BBG|317665|512857|N
20150317|BBK|1544|1961|N
20150317|BBL|198932|315600|N
20150317|BBN|3436|12296|N
20150317|BBT|841504|1319352|N
20150317|BBTPRD|6756|17428|N
20150317|BBTPRE|28599|33873|N
20150317|BBTPRF|223|3931|N
20150317|BBTPRG|3959|7984|N
20150317|BBVA|265312|416646|N
20150317|BBW|10075|48630|N
20150317|BBX|21628|120451|N
20150317|BBY|374843|684902|N
20150317|BC|63165|158827|N
20150317|BCA|3427|7042|N
20150317|BCC|63374|106481|N
20150317|BCE|137792|263706|N
20150317|BCEI|91074|141243|N
20150317|BCH|3534|29498|N
20150317|BCO|52986|82932|N
20150317|BCR|25251|82658|N
20150317|BCRH|1741|5336|N
20150317|BCS|517720|695081|N
20150317|BCSPR|7664|11017|N
20150317|BCSPRA|10875|58171|N
20150317|BCSPRC|1992|10173|N
20150317|BCSPRD|24174|37157|N
20150317|BCX|7958|42786|N
20150317|BDC|35802|66078|N
20150317|BDJ|38196|65319|N
20150317|BDN|166696|404867|N
20150317|BDNPRE|200|200|N
20150317|BDX|110710|490241|N
20150317|BEE|254925|591146|N
20150317|BEL|64725|87530|N
20150317|BEN|373655|560029|N
20150317|BEP|3640|4870|N
20150317|BERY|85346|289475|N
20150317|BFA|1506|2094|N
20150317|BFAM|26967|40985|N
20150317|BFB|104668|193720|N
20150317|BFK|4427|13863|N
20150317|BFO|602|4702|N
20150317|BFR|55867|104265|N
20150317|BFS|7420|13915|N
20150317|BFSPRC|75|275|N
20150317|BFZ|4200|6624|N
20150317|BG|120371|230068|N
20150317|BGB|8004|19238|N
20150317|BGC|557634|1097755|N
20150317|BGCA|1870|2347|N
20150317|BGEPRB|135|251|N
