Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20180703|A|453|87740|270190|N
20180703|AA|4419|144553|248353|N
20180703|AABA|0|7229|30908|N
20180703|AAC|0|2857|8849|N
20180703|AAL|0|79189|122783|N
20180703|AAN|0|18497|71303|N
20180703|AAOI|0|2519|2519|N
20180703|AAON|0|2500|3010|N
20180703|AAP|1132|57406|88859|N
20180703|AAPL|0|77389|213681|N
20180703|AAT|6400|33119|59350|N
20180703|AAV|889|5374|9208|N
20180703|AAWW|0|400|600|N
20180703|AAXJ|0|1000|2700|N
20180703|AAXN|0|1413|1761|N
20180703|AB|4552|8706|25734|N
20180703|ABAC|0|0|100|N
20180703|ABAX|0|0|300|N
20180703|ABB|909|231242|327654|N
20180703|ABBV|11145|141425|695317|N
20180703|ABC|30|70307|148846|N
20180703|ABCB|0|2900|5625|N
20180703|ABCD|0|900|900|N
20180703|ABEO|200|1960|4460|N
20180703|ABEV|22100|6423109|8510497|N
20180703|ABG|1|15280|24619|N
20180703|ABIL|0|2542|3542|N
20180703|ABIO|0|306|306|N
20180703|ABM|1|36186|90891|N
20180703|ABMD|0|1400|1989|N
20180703|ABR|324|51803|122397|N
20180703|ABRPRC|0|60|60|N
20180703|ABT|22853|304779|717538|N
20180703|ABTX|0|100|200|N
20180703|ABUS|0|1600|1800|N
20180703|ABX|148181|914082|2087767|N
20180703|AC|0|844|1348|N
20180703|ACAD|0|2521|7547|N
20180703|ACBI|0|100|100|N
20180703|ACC|27191|71297|169109|N
20180703|ACCO|0|19354|38545|N
20180703|ACET|0|5721|11121|N
20180703|ACGL|0|800|6170|N
20180703|ACGLO|0|100|100|N
20180703|ACH|0|640|6658|N
20180703|ACHC|0|1200|1400|N
20180703|ACHN|0|25002|35992|N
20180703|ACIA|0|900|1300|N
20180703|ACIW|0|600|1227|N
20180703|ACLS|0|1900|3400|N
20180703|ACM|939|54628|95716|N
20180703|ACMR|0|700|700|N
20180703|ACN|161|178758|549349|N
20180703|ACOR|0|1400|2400|N
20180703|ACP|0|4628|8932|N
20180703|ACRE|4|5377|22894|N
20180703|ACRS|0|800|1000|N
20180703|ACRX|0|1194|1294|N
20180703|ACTG|0|100|800|N
20180703|ACV|0|1897|6636|N
20180703|ACWI|0|8715|11715|N
20180703|ACWX|0|1400|2200|N
20180703|ACXM|0|4175|8316|N
20180703|ADAP|0|200|1000|N
20180703|ADBE|0|4323|8683|N
20180703|ADC|213|15750|26253|N
20180703|ADI|0|1444|2494|N
20180703|ADM|3332|164114|461303|N
20180703|ADMA|0|400|700|N
20180703|ADMP|100|4801|5981|N
20180703|ADMS|0|1300|1800|N
